Compound Name, Abstract ID, CName Frequency, Skin Freq, Compound-Skin Collocations, Top 0, Top 0 Freq, Top 1, Top 1 Freq, Top 2, Top 2 Freq, Top 3, Top 3 Freq, Top 4, Top 4 Freq
ITRACONAZOLE,25241767,0,3,0.0,antifungal,3,agents,3,skin,3,nail,3,fungal,3
ITRACONAZOLE,8947868,8,0,0.0,dogs,16,group,11,itraconazole,8,treated,7,mg/kg/d,6
ITRACONAZOLE,12431130,1,1,0.05263157894736842,treatment,7,tinea,4,capitis,4,therapy,4,infection,3
OXYGEN,29735504,2,0,0.0,pulmonary,3,pembrolizumab,2,emboli,2,pneumonia,2,care,2
OXYGEN,24131071,1,3,0.14285714285714285,laser,5,toe,4,ablative,4,fractional,4,patients,4
OXYGEN,19428452,1,0,0.0,cells,7,heterogeneity,3,proliferative,3,potential,3,human,3
OXYGEN,32191815,1,1,0.0,pv,7,lesions,4,lamp,3,free,2,pdt,2
OXYGEN,19921515,2,1,0.09090909090909091,procedure,4,use,3,oxide,3,noted,3,cases,3
OXYGEN,28162950,1,1,0.0,patients,9,breast,8,cancer,6,nsm,5,ipsilateral,4
OXYGEN,27852938,1,10,0.0,skin,8,cyp1a1,7,expression,5,afcas,5,vegf,5
OXYGEN,32264420,1,1,0.0,ocnd,7,radical,3,scavenging,3,extract,3,observed,3
OXYGEN,28122416,1,0,0.0,pain,8,pdt,6,threshold,3,experience,2,rate,2
OXYGEN,20093649,1,1,0.0,methemoglobinemia,3,dapsone,2,dermatitis,2,dapsone-induced,2,leprostatic,1
INDOCYANINE GREEN,27745767,3,1,0.0,flap,8,angiography,4,free,4,repeated,3,indocyanine,3
HYDROGEN,15748797,1,4,0.0,effects,4,fluids,3,tests,3,performed,3,inhalation,3
HYDROGEN,27318727,1,2,0.0,swimming,7,nps,6,released,4,sunscreens,3,treatment,3
HYDROGEN,25354814,0,9,0.0,skin,9,breast,8,radiotherapy,7,biophysical,6,radiation,4
HYDROGEN,29684425,0,3,0.0,adapalene,14,nano-emulsion,9,gel,9,loaded,8,0.1,4
HYDROGEN,22041700,0,4,0.0,kby,6,pigmentation,5,progesterone,5,mice,5,melanin,3
