Compound Name, Abstract ID, CName Frequency, Skin Freq, Compound-Skin Collocations, Top 0, Top 0 Freq, Top 1, Top 1 Freq, Top 2, Top 2 Freq, Top 3, Top 3 Freq, Top 4, Top 4 Freq
RESORCINOL,24269627,1,4,0.0,dermal,4,substances,4,exposure,3,regulatory,3,frameworks,3
CAMPHOR,17499903,0,11,0.0,skin,11,badge,6,3-bc,6,risk,5,derivatives,5
STEARIC ACID,31356914,0,0,0.0,abstract,1,available,1
POLYETHYLENE,23064774,0,1,0.0,ingredients,5,panel,4,alkyl,3,peg,3,data,3
POLYETHYLENE,26940713,1,1,0.0,animals,6,nonacog,5,beta,5,pegol,5,human,3
POLYETHYLENE,30131113,4,1,0.125,bag,6,warmer,5,polyethylene,4,radiant,4,heat,4
POLYETHYLENE,30044565,0,4,0.0,group,16,control,11,patients,10,2,7,rfa,5
POLYETHYLENE,30551891,0,1,0.0,syndrome,6,'s,5,sweet,4,therapy,3,neutrophilic,2
POLYETHYLENE,26454800,0,1,0.0,pld,5,doxorubicin,4,toxicity,4,liposomal,3,metastatic,2
POLYETHYLENE,21306564,0,2,0.0,microcirculation,4,lactocapromer,3,terpolymer,3,matrix,3,10,3
POLYETHYLENE,26331232,0,1,0.0,htg,8,peg,7,patients,5,tg,4,therapy,3
POLYETHYLENE,31670811,1,2,0.07692307692307693,terpenes,5,deet,4,repellent,4,protection,4,affinity,3
POLYETHYLENE,25162087,0,1,0.0,pegloticase,7,patients,7,treatment,5,adverse,5,effects,5
GLYCOLIC ACID,19636068,1,3,0.0,thioglycolates,6,skin,3,irritants,3,thioglycolate,2,used,2
GLYCOLIC ACID,12518799,1,2,0.0,ga,6,cell,5,acid,4,la,4,cells,4
ZINC OXIDE,20015351,0,1,0.0,nanoparticles,10,air-liquid,7,interface,7,exposure,7,cell,6
ZINC OXIDE,27318727,0,2,0.0,swimming,7,nps,6,released,4,sunscreens,3,treatment,3
ZINC OXIDE,25565821,2,1,0.0,nps,7,assessment,4,part,4,nanomaterials,3,rt-nasa,3
ZINC OXIDE,28498177,0,8,0.0,skin,8,iad,7,products,5,care,4,study,4
ZINC OXIDE,28509652,1,3,0.0,zno,10,exposure,6,oral,4,compound,3,risk,3
ZINC OXIDE,25565832,1,7,0.06666666666666667,zno,9,nps,7,dermally,3,applied,3,experimental,3
ZINC OXIDE,29901362,7,1,0.05555555555555555,diaper,10,dermatitis,10,talcum,9,group,9,zinc,7
ARGININE,25565821,1,1,0.0,nps,7,assessment,4,part,4,nanomaterials,3,rt-nasa,3
ARGININE,20567908,0,1,0.0,pregnancy,12,porphyria,7,women,6,acute,5,diagnosed,5
ETHYLHEXYL DIMETHYL PABA,31015895,6,1,0.125,paba,8,ethylhexyl,7,dimethyl,7,cell,3,exposure,3
TRICLOSAN,31015896,1,2,0.0,tcs,8,products,7,based,4,oral,4,scenario,4
TRICLOSAN,17011099,6,1,0.0,triclosan,6,milk,6,breast,5,exposure,4,human,3
TRICLOSAN,19822703,3,1,0.25,triclosan,2,application,2,+/-,2,dose,2,standard,2
ETIDRONIC ACID,25338093,0,1,0.0,nf1,6,bone,6,osteoporosis,4,low,3,mass,3
PABA,31015895,8,1,0.125,paba,8,ethylhexyl,7,dimethyl,7,cell,3,exposure,3
ASCORBIC ACID,15153076,3,4,0.0,group,9,recovery,7,aa,4,skin,4,faster,4
ASCORBIC ACID,19187962,1,1,0.0,psoralens,6,suv-b,5,biomass,4,production,4,plant,3
LACTIC ACID,31254555,1,3,0.0,confusa,6,w.,5,vivo,4,irritation,4,studies,3
LACTIC ACID,24301251,1,1,0.0,minimally,2,invasive,2,procedures,2,effects,2,injection,2
LACTIC ACID,443837,1,0,0.0,acid,3,twins,2,meleda,2,retinoic,2,identical,1
LACTIC ACID,29149625,1,0,0.0,bacterial,5,carcass,5,acid,4,decontamination,3,surfaces,3
LACTIC ACID,21929551,0,3,0.0,reactions,4,filler,3,dermal,3,novabel,3,®,3
LACTIC ACID,23999410,3,3,0.0,extracts,6,acid,6,saline,4,sesame,4,oil,4
LACTIC ACID,12518799,2,2,0.0,ga,6,cell,5,acid,4,la,4,cells,4
LACTIC ACID,31407825,1,1,0.0,afb1,11,ex-trp,7,p,7,≤,7,.01,5
BENZOYL PEROXIDE,11702619,7,1,0.125,benzoyl,7,peroxide,7,combination,7,clindamycin,4,efficacy,4
BENZOYL PEROXIDE,24002152,1,0,0.0,adapalene,9,bpo,9,group,8,respectively,6,acne,5
BENZOYL PEROXIDE,21760743,4,1,0.0,combination,11,acne,8,medications,8,clindamycin,5,benzoyl,4
BENZOYL PEROXIDE,29911775,5,2,0.05,acne,14,silver,12,nanoparticle,12,gel,9,clindamycin,7
CITRIC ACID,29149625,0,0,0.0,bacterial,5,carcass,5,acid,4,decontamination,3,surfaces,3
SIMETHICONE,14555417,0,6,0.0,dimethicone,23,methicone,11,using,8,studies,7,adverse,6
AGAR,10360495,1,0,0.0,renal,4,hemorrhage,3,incidence,3,using,3,siemens,3
BETAINE,30086255,2,1,0.0,pp,4,wound,4,group,4,application,4,minutes,4
VALINE,20838200,0,1,0.0,angioedema,6,aceis,3,administration,2,angiotensin,2,arbs,2
ACETIC ACID,26780674,0,0,0.0,cells,8,2,8,viability,7,irradiated,4,220j/cm,4
ACETIC ACID,31785315,1,2,0.0,p-tolyl,6,acetate,5,toxicity,5,evaluated,4,environmental,3
ACETIC ACID,29149625,1,0,0.0,bacterial,5,carcass,5,acid,4,decontamination,3,surfaces,3
ACETIC ACID,21412803,1,3,0.0,iaa,14,pdt,10,acne,5,treatment,3,incubation,3
ACETIC ACID,15893446,1,1,0.0,acid,5,concentration,5,ic50,4,fire,3,combustion,3
